price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,manufacturer
9400,2011,bmw x5,good,6,gas,145000,automatic,SUV,unknown,TRUE,6/23/2018,19,bmw
25500,2011,ford f-150,good,6,gas,88705,automatic,pickup,white,TRUE,10/19/2018,50,ford
5500,2013,hyundai sonata,excellent,4,gas,110000,automatic,sedan,red,FALSE,2/7/2019,79,hyundai
1500,2003,ford f-150,fair,8,gas,165025,automatic,pickup,unknown,FALSE,3/22/2019,9,ford
14900,2017,chrysler 200,excellent,4,gas,80903,automatic,sedan,black,FALSE,4/2/2019,28,chrysler
14990,2014,chrysler 300,excellent,6,gas,57954,automatic,sedan,black,TRUE,6/20/2018,15,chrysler
12990,2015,toyota camry,excellent,4,gas,79212,automatic,sedan,white,FALSE,12/27/2018,73,toyota
15990,2013,honda pilot,excellent,6,gas,109473,automatic,SUV,black,TRUE,1/7/2019,68,honda
11500,2012,kia sorento,excellent,4,gas,104174,automatic,SUV,unknown,TRUE,7/16/2018,19,kia
9200,2008,honda pilot,excellent,6,gas,147191,automatic,SUV,blue,TRUE,2/15/2019,17,honda
19500,2011,chevrolet silverado 1500,excellent,8,gas,128413,automatic,pickup,black,TRUE,9/17/2018,38,chevrolet
8990,2012,honda accord,excellent,4,gas,111142,automatic,sedan,grey,FALSE,3/28/2019,29,honda
18990,2012,ram 1500,excellent,8,gas,140742,automatic,pickup,unknown,TRUE,4/2/2019,37,ram
16500,2018,hyundai sonata,excellent,4,gas,22104,automatic,sedan,silver,FALSE,1/14/2019,29,hyundai
12990,2009,gmc yukon,excellent,8,gas,132285,automatic,SUV,black,TRUE,1/31/2019,24,gmc
17990,2013,ram 1500,excellent,8,gas,100130,automatic,pickup,red,TRUE,5/15/2018,111,ram
14990,2010,ram 1500,excellent,8,gas,130725,automatic,pickup,red,TRUE,12/30/2018,13,ram
13990,2014,jeep cherokee,excellent,6,gas,100669,automatic,SUV,red,TRUE,8/16/2018,25,jeep
12500,2013,chevrolet traverse,excellent,6,gas,128325,automatic,SUV,white,TRUE,4/9/2019,13,chevrolet
13990,2018,hyundai elantra,excellent,4,gas,31932,automatic,sedan,red,FALSE,8/25/2018,27,hyundai
6990,2009,chevrolet tahoe,excellent,8,gas,147485,automatic,SUV,silver,TRUE,8/5/2018,28,chevrolet
5250,2007,toyota rav4,good,6,gas,154000,automatic,SUV,unknown,FALSE,8/22/2018,8,toyota
7500,2004,chevrolet silverado,excellent,8,gas,180000,automatic,truck,red,TRUE,1/5/2019,64,chevrolet
7500,2004,jeep wrangler,good,6,gas,158000,automatic,SUV,red,TRUE,5/17/2018,39,jeep
3950,2009,chrysler 200,excellent,4,gas,129950,automatic,sedan,red,FALSE,6/11/2018,40,chrysler
11499,2017,chevrolet malibu,excellent,4,gas,43200,automatic,sedan,unknown,FALSE,7/26/2018,43,chevrolet
8499,2014,ford fusion se,excellent,4,gas,79523,automatic,sedan,red,FALSE,10/25/2018,23,ford
12999,2015,chevrolet impala,excellent,6,gas,39368,automatic,sedan,custom,FALSE,5/19/2018,42,chevrolet
29800,2012,chevrolet corvette,excellent,8,gas,57413,automatic,coupe,orange,FALSE,10/22/2018,101,chevrolet
5495,2010,chevrolet impala,excellent,6,gas,129026,automatic,sedan,white,FALSE,2/18/2019,20,chevrolet
5000,2009,jeep liberty,good,6,gas,137273,automatic,SUV,white,TRUE,2/19/2019,14,jeep
11999,2017,toyota camry le,excellent,4,gas,35721,automatic,sedan,unknown,FALSE,9/13/2018,25,toyota
9499,2015,nissan altima,excellent,4,gas,51848,automatic,sedan,grey,FALSE,11/12/2018,7,nissan
3890,2011,subaru outback,excellent,4,gas,300000,automatic,SUV,white,TRUE,12/25/2018,31,subaru
9500,2008,toyota highlander,good,6,gas,149799,automatic,SUV,unknown,FALSE,6/4/2018,121,toyota
14999,2015,dodge charger,good,6,gas,63037,automatic,sedan,unknown,FALSE,5/11/2018,37,dodge
10499,2013,chrysler 300,good,6,gas,88042,automatic,sedan,unknown,FALSE,5/5/2018,22,chrysler
7500,2005,toyota tacoma,good,6,gas,160000,automatic,pickup,unknown,FALSE,7/22/2018,44,toyota
7999,2015,chrysler 200,good,4,gas,72874.5,automatic,sedan,unknown,FALSE,3/8/2019,29,chrysler
8000,2009,ford f-150,good,8,gas,234000,automatic,truck,black,TRUE,3/31/2019,1,ford
11499,2017,chevrolet equinox,excellent,4,gas,54772,automatic,SUV,grey,TRUE,1/12/2019,36,chevrolet
